latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.1762,88.1607,2015-07-24,1637.4,21.6,216.4,-0.023,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,13.5,40.7,104.8,179.4,0.332
27.2248,88.5483,2020-01-19,981.9,8.5,105.2,-0.028,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.8,4.7,10.5,21.3,0.809
27.1367,88.5453,2015-07-17,465.3,9.1,23.4,-0.024,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,10.9,53.3,111.9,161.7,0.205
27.2983,88.1441,2023-12-14,1453.2,22.4,93.2,-0.051,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.8,5.0,6.6,48.5,0.36
27.3352,88.7653,2012-02-23,1113.0,13.0,97.7,-0.012,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,4.4,6.2,8.8,18.2,0.71
27.1707,88.6815,2015-08-04,933.4,6.1,293.6,0.024,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,29.2,73.4,153.5,199.4,0.398
27.249,88.2011,2017-08-26,1256.0,12.0,22.9,0.039,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,17.3,45.3,122.7,213.7,0.382
27.4394,88.4506,2013-11-03,1265.7,19.7,202.1,-0.026,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.7,6.4,12.3,19.0,0.578
27.1292,88.1955,2021-03-19,1177.9,11.7,183.1,-0.012,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,6.0,7.1,11.3,28.2,0.845
27.2024,88.1739,2022-07-25,891.3,22.7,290.9,-0.02,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,27.0,76.9,159.1,214.0,0.351
27.4413,88.4975,2015-06-13,925.3,10.1,153.8,-0.013,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,32.5,81.9,112.4,193.3,0.397
27.2703,88.2755,2017-02-12,1040.3,23.0,116.4,-0.032,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.8,6.7,10.3,53.1,0.269
27.4665,88.2962,2023-01-20,536.0,11.1,13.3,-0.001,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.4,5.2,5.6,9.5,0.462
27.447,88.2877,2015-02-15,1138.9,23.7,87.1,-0.047,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.8,8.5,10.7,26.3,0.329
27.2524,88.5626,2022-12-08,1337.8,7.6,300.7,0.088,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,1.0,1.8,2.1,12.8,0.556
27.1828,88.6037,2015-01-26,1171.9,13.0,337.2,-0.016,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.3,10.6,27.4,31.0,0.028
27.3576,88.6921,2015-08-07,866.6,16.0,190.7,-0.013,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,34.9,85.9,157.1,224.2,0.406
27.4394,88.6659,2019-02-09,932.4,8.9,323.5,0.009,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.3,2.3,3.2,16.3,1.0
27.1218,88.2326,2020-03-24,1747.0,17.7,80.7,0.019,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.1,4.2,7.3,23.8,0.738
27.3539,88.7145,2018-03-08,1413.1,7.7,132.4,0.076,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.8,1.9,30.8,36.8,0.421
23.7984,92.7462,2019-06-25,822.3,13.7,177.3,0.058,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,13.9,57.8,106.1,148.0,0.24
27.3524,88.244,2022-07-26,1078.5,6.3,334.2,0.029,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,20.8,74.5,167.1,275.3,0.279
27.226,88.3896,2018-11-20,1007.1,9.1,200.4,0.034,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,6.9,11.7,18.5,19.7,0.59
23.743,92.818,2020-01-22,830.5,18.2,266.7,-0.046,None (Stable slope unit),Mizoram,Aizawl Sector,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,3.0,7.8,11.4,15.6,0.385
27.354,88.6114,2016-03-04,2382.9,20.3,320.4,-0.046,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.2,3.7,4.0,11.5,0.054
27.3154,88.3206,2012-08-17,669.8,16.6,11.0,-0.036,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,23.7,69.5,113.5,203.3,0.341
27.1507,88.1562,2013-03-27,1042.9,15.6,194.6,0.055,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,9.3,12.2,15.3,34.3,0.762
27.2175,88.4273,2014-03-25,1415.2,7.4,9.1,-0.031,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,0.5,1.2,3.5,13.1,0.417
27.3773,88.5821,2020-01-20,1681.6,11.0,343.8,0.015,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.4,4.6,6.9,12.2,0.522
27.3928,88.1301,2017-08-08,1678.4,8.1,16.6,-0.009,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,10.9,45.6,106.4,160.3,0.239
27.2762,88.399,2013-01-24,1749.0,17.1,228.6,-0.005,None (Stable slope unit),Sikkim,Gangtok / Teesta Basin,"Scientifically sampled non-event unit (>1.5km buffer, real regional climatology)",0,2.5,5.3,20.8,33.7,0.472
