latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,provenance,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.12,88.25,2014-01-20,488.0,33.91,168.82,5.1081,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.53km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.5,1.4,2.9,0.0
27.12,88.25,2014-07-15,488.0,33.91,168.82,5.1081,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.53km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,39.3,53.3,75.3,180.6,0.737
27.12,88.25,2015-12-10,488.0,33.91,168.82,5.1081,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.53km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,0.3,18.3,0.0
27.12,88.25,2016-08-05,488.0,33.91,168.82,5.1081,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.53km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,2.3,5.5,25.6,486.0,0.418
27.12,88.25,2017-02-15,488.0,33.91,168.82,5.1081,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.53km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,5.2,19.0,0.0
27.12,88.3056,2014-01-20,508.0,29.44,167.08,2.3661,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.5,1.4,2.9,0.0
27.12,88.3056,2014-07-15,508.0,29.44,167.08,2.3661,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,39.3,53.3,75.3,180.6,0.737
27.12,88.3056,2015-12-10,508.0,29.44,167.08,2.3661,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,0.3,18.3,0.0
27.12,88.3056,2016-08-05,508.0,29.44,167.08,2.3661,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,2.3,5.5,25.6,486.0,0.418
27.12,88.3056,2017-02-15,508.0,29.44,167.08,2.3661,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,5.2,19.0,0.0
