latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.28073438539538,88.57053834258154,2017-07-15,1268.5740831,39.287769741,122.18128798,-30766613.556,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,4.2,13.4,184.6,543.8,0.313
27.25534523128074,88.63093819820688,2017-07-15,1967.7129313,30.884160572,229.92302619,-71851756.889,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,23.7,39.2,260.5,639.0,0.605
27.30864166666666,88.66735833333334,2012-07-15,2048.8919406,29.478448656,161.29719374,35550114.222,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,120.6,181.6,325.0,712.7,0.664
27.26288611111112,88.59082222222222,2017-07-15,960.74382867,44.812948015,330.40676202,155506752.0,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,1.4,10.0,221.6,669.5,0.14
27.32809315135169,88.62380516376776,2017-07-15,1387.90743,29.063779619,85.423542447,5733764.0885,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,12.4,26.5,192.4,485.2,0.468
27.35486944444445,88.66125833333334,2011-07-15,1768.0617405,45.85354699,169.09820048,69309522.667,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,29.5,141.0,242.1,510.1,0.209
27.35799166666667,88.66255833333334,2010-07-15,2040.2376573,43.408995734,171.08817546,-70626457.722,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,20.0,76.7,377.2,709.5,0.261
27.35724722222222,88.66389444444445,2010-07-15,1956.9753011,43.613314311,176.82611254,121028817.33,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,20.0,76.7,377.2,709.5,0.261
27.352625,88.65876111111112,2012-07-15,1615.1358236,46.212288751,144.40456814,-108701724.21999998,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,120.6,181.6,325.0,712.7,0.664
27.29975,88.69376111111112,2010-07-15,2585.0616591,33.49731085,261.59880405,-18752487.111,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,20.0,76.7,377.2,709.5,0.261
27.38047000212643,88.68308427441023,2017-07-15,3324.0123155,25.217291832,215.55509271,195690694.22,Debris flow,Sikkim,Gangtok / Teesta Basin,Zenodo 8169506 (Sikkim multi-temporal inventory),1,23.3,48.9,215.2,446.8,0.476
